         16044 function calls (15972 primitive calls) in 1.190 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {method 'groups' of '_sre.SRE_Match' objects}
       18    0.000    0.000    0.000    0.000 {method 'index' of 'str' objects}
      720    0.000    0.000    0.000    0.000 {method 'isspace' of 'str' objects}
      195    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      120    0.000    0.000    0.009    0.000 {method 'join' of 'str' objects}
       55    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     1857    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
        9    0.000    0.000    0.000    0.000 {method 'lower' of 'unicode' objects}
       10    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
       22    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        9    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      189    0.000    0.000    0.000    0.000 {method 'read' of 'cStringIO.StringO' objects}
        1    0.003    0.003    0.003    0.003 {method 'read' of 'file' objects}
      189    0.000    0.000    0.000    0.000 {method 'readline' of 'cStringIO.StringO' objects}
       27    1.094    0.041    1.094    0.041 {method 'recv' of '_socket.socket' objects}
       73    0.000    0.000    0.000    0.000 {method 'release' of 'thread.lock' objects}
        2    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       21    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       27    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      414    0.000    0.000    0.000    0.000 {method 'seek' of 'cStringIO.StringO' objects}
        9    0.000    0.000    0.000    0.000 {method 'sendall' of '_socket.socket' objects}
      557    0.002    0.000    0.002    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
       55    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        9    0.000    0.000    0.000    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
       65    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       18    0.000    0.000    0.000    0.000 {method 'split' of 'unicode' objects}
       82    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        9    0.000    0.000    0.000    0.000 {method 'startswith' of 'unicode' objects}
      290    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      225    0.000    0.000    0.000    0.000 {method 'tell' of 'cStringIO.StringO' objects}
        2    0.000    0.000    0.000    0.000 {method 'tolist' of 'array.array' objects}
        2    0.000    0.000    0.000    0.000 {method 'tostring' of 'array.array' objects}
        1    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       36    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       36    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
      207    0.001    0.000    0.001    0.000 {method 'write' of 'cStringIO.StringO' objects}
       30    0.000    0.000    0.000    0.000 {min}
        7    0.000    0.000    0.000    0.000 {ord}
        1    0.001    0.001    0.001    0.001 {posix.popen}
       18    0.000    0.000    0.000    0.000 {posix.stat}
        1    0.000    0.000    0.000    0.000 {posix.uname}
       30    0.000    0.000    0.000    0.000 {range}
        8    0.000    0.000    0.000    0.000 {select.poll}
        6    0.000    0.000    0.000    0.000 {setattr}
       31    0.000    0.000    0.000    0.000 {thread.allocate_lock}
      110    0.000    0.000    0.000    0.000 {thread.get_ident}
       45    0.000    0.000    0.000    0.000 {time.time}
        9    0.000    0.000    0.000    0.000 {zlib.decompressobj}


