         47986 function calls (47854 primitive calls) in 2.871 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 shlex.py:21(shlex)
        1    0.000    0.000    0.000    0.000 socket.py:185(__init__)
       29    0.000    0.000    0.000    0.000 socket.py:212(makefile)
       59    0.000    0.000    0.010    0.000 socket.py:223(meth)
       29    0.000    0.000    0.000    0.000 socket.py:246(__init__)
       58    0.000    0.000    0.000    0.000 socket.py:276(close)
       29    0.000    0.000    0.000    0.000 socket.py:285(__del__)
       29    0.000    0.000    0.000    0.000 socket.py:292(flush)
       58    0.001    0.000    0.002    0.000 socket.py:336(read)
      638    0.007    0.000    2.665    0.004 socket.py:406(readline)
        1    0.000    0.000    0.031    0.031 socket.py:537(create_connection)
        3    0.000    0.000    0.004    0.001 sre_compile.py:178(_compile_charset)
        3    0.000    0.000    0.004    0.001 sre_compile.py:207(_optimize_charset)
       16    0.000    0.000    0.000    0.000 sre_compile.py:24(_identityfunction)
        8    0.000    0.000    0.000    0.000 sre_compile.py:258(_mk_bitmap)
        2    0.003    0.001    0.004    0.002 sre_compile.py:301(_optimize_unicode)
      6/2    0.000    0.000    0.002    0.001 sre_compile.py:32(_compile)
        2    0.000    0.000    0.000    0.000 sre_compile.py:354(_simple)
        2    0.000    0.000    0.002    0.001 sre_compile.py:359(_compile_info)
        4    0.000    0.000    0.000    0.000 sre_compile.py:472(isstring)
        2    0.000    0.000    0.004    0.002 sre_compile.py:478(_code)
        2    0.000    0.000    0.005    0.002 sre_compile.py:493(compile)
        8    0.000    0.000    0.000    0.000 sre_parse.py:126(__len__)
       16    0.000    0.000    0.000    0.000 sre_parse.py:130(__getitem__)
        2    0.000    0.000    0.000    0.000 sre_parse.py:134(__setitem__)
        8    0.000    0.000    0.000    0.000 sre_parse.py:138(append)
      8/4    0.000    0.000    0.000    0.000 sre_parse.py:140(getwidth)
        2    0.000    0.000    0.000    0.000 sre_parse.py:178(__init__)
       27    0.000    0.000    0.000    0.000 sre_parse.py:182(__next)
       19    0.000    0.000    0.000    0.000 sre_parse.py:195(match)
       22    0.000    0.000    0.000    0.000 sre_parse.py:201(get)
      4/2    0.000    0.000    0.000    0.000 sre_parse.py:301(_parse_sub)
      4/2    0.000    0.000    0.000    0.000 sre_parse.py:379(_parse)
        2    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
        2    0.000    0.000    0.000    0.000 sre_parse.py:675(parse)
        2    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
        2    0.000    0.000    0.000    0.000 sre_parse.py:83(closegroup)
        6    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
        1    0.000    0.000    0.000    0.000 string.py:248(strip)
        1    0.000    0.000    0.000    0.000 string.py:281(split)
        1    0.000    0.000    0.000    0.000 stringprep.py:6(<module>)
      117    0.001    0.000    0.008    0.000 structures.py:65(__init__)
      757    0.001    0.000    0.002    0.000 structures.py:71(__setitem__)
      319    0.001    0.000    0.001    0.000 structures.py:76(__getitem__)
      116    0.001    0.000    0.001    0.000 structures.py:82(__iter__)
      464    0.000    0.000    0.000    0.000 structures.py:83(<genexpr>)
       29    0.000    0.000    0.000    0.000 structures.py:85(__len__)
       90    0.000    0.000    0.001    0.000 threading.py:113(RLock)
       90    0.001    0.000    0.001    0.000 threading.py:131(__init__)
      175    0.001    0.000    0.002    0.000 threading.py:146(acquire)
      175    0.001    0.000    0.001    0.000 threading.py:186(release)
       59    0.000    0.000    0.001    0.000 threading.py:214(__exit__)
        3    0.000    0.000    0.000    0.000 threading.py:241(Condition)
        3    0.000    0.000    0.000    0.000 threading.py:259(__init__)
       68    0.000    0.000    0.000    0.000 threading.py:299(_is_owned)
       68    0.000    0.000    0.001    0.000 threading.py:372(notify)
       93    0.000    0.000    0.000    0.000 threading.py:58(__init__)
      418    0.000    0.000    0.000    0.000 threading.py:63(_note)
       29    0.000    0.000    0.000    0.000 urllib.py:1043(_is_unicode)
       29    0.000    0.000    0.001    0.000 urllib.py:1123(splitport)
       29    0.000    0.000    0.000    0.000 urllib.py:1210(unquote)
       29    0.000    0.000    0.000    0.000 urllib.py:1251(quote)
       29    0.000    0.000    0.000    0.000 urllib.py:1297(urlencode)
       29    0.001    0.000    0.001    0.000 urllib.py:1361(getproxies_environment)
       29    0.000    0.000    0.001    0.000 urllib.py:1377(proxy_bypass_environment)
       29    0.000    0.000    0.000    0.000 urlparse.py:133(geturl)
      232    0.002    0.000    0.006    0.000 urlparse.py:137(urlparse)
       29    0.000    0.000    0.001    0.000 urlparse.py:160(_splitnetloc)
      261    0.002    0.000    0.003    0.000 urlparse.py:168(urlsplit)
       58    0.000    0.000    0.000    0.000 urlparse.py:223(urlunparse)
       58    0.000    0.000    0.000    0.000 urlparse.py:233(urlunsplit)
        1    0.000    0.000    0.000    0.000 urlparse.py:68(clear_cache)
       29    0.000    0.000    0.000    0.000 urlparse.py:76(username)
       58    0.000    0.000    0.001    0.000 utf_8.py:15(decode)
       59    0.000    0.000    0.000    0.000 util.py:115(__init__)
      177    0.000    0.000    0.000    0.000 util.py:126(_validate_timeout)
        1    0.000    0.000    0.000    0.000 util.py:160(from_float)
       29    0.000    0.000    0.000    0.000 util.py:176(clone)
       29    0.000    0.000    0.000    0.000 util.py:191(start_connect)
       30    0.000    0.000    0.000    0.000 util.py:215(connect_timeout)
       29    0.000    0.000    0.000    0.000 util.py:233(read_timeout)
       58    0.000    0.000    0.001    0.000 util.py:272(__new__)
       58    0.000    0.000    0.001    0.000 util.py:298(split_first)
       58    0.001    0.000    0.003    0.000 util.py:331(parse_url)
       29    0.000    0.000    0.000    0.000 util.py:44(current_time)
       28    0.000    0.000    0.001    0.000 util.py:471(is_connection_dropped)
       87    0.000    0.000    0.000    0.000 util.py:578(is_fp_closed)
      203    0.001    0.000    0.005    0.000 utils.py:144(to_key_val_list)
       29    0.000    0.000    0.002    0.000 utils.py:300(get_encoding_from_headers)
       29    0.000    0.000    0.000    0.000 utils.py:385(unquote_unreserved)
       29    0.000    0.000    0.001    0.000 utils.py:407(requote_uri)
       29    0.000    0.000    0.003    0.000 utils.py:469(should_bypass_proxies)
       29    0.000    0.000    0.000    0.000 utils.py:473(<lambda>)
       29    0.000    0.000    0.000    0.000 utils.py:48(super_len)
       29    0.000    0.000    0.004    0.000 utils.py:514(get_environ_proxies)
        1    0.000    0.000    0.002    0.002 utils.py:522(default_user_agent)
        1    0.000    0.000    0.002    0.002 utils.py:553(default_headers)
       29    0.000    0.000    0.001    0.000 utils.py:639(get_auth_from_url)
